City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
koungou,-12.7336,45.2042,78.8,89,75,3.44,YT,1612839334
coolum beach,-26.5333,153.1,82.0,57,26,8.99,AU,1612839335
faya,18.3851,42.4509,46.4,87,40,4.61,SA,1612839336
tsevie,6.4261,1.2133,82.4,83,20,10.36,TG,1612839337
deputatskiy,69.3,139.9,-18.85,89,26,3.85,RU,1612839338
dunedin,-45.8742,170.5036,57.99,88,100,3.0,NZ,1612839298
dobsice,48.8483,16.0822,28.0,100,39,2.57,CZ,1612839340
lae,-6.7221,146.9847,86.41,62,99,6.2,PG,1612839341
tingo maria,-9.2895,-76.0088,72.68,83,100,1.28,PE,1612839342
teya,60.3778,92.6267,19.78,91,76,18.3,RU,1612839343
nicolas bravo,18.45,-88.9167,70.36,97,0,3.47,MX,1612839344
hermagor,46.6272,13.3672,39.99,98,96,2.04,AT,1612839345
goderich,43.7501,-81.7165,14.0,67,100,8.05,CA,1612839096
champerico,14.3,-91.9167,64.99,95,26,6.29,GT,1612839347
labuhan,-6.8844,112.2051,83.01,79,81,12.97,ID,1612839348
pankovka,58.5,31.1999,1.15,90,50,3.94,RU,1612839350
uvelskiy,54.4446,61.3574,-11.94,86,100,9.13,RU,1612839351
acapulco,16.8634,-99.8901,80.6,74,20,6.91,MX,1612839256
adrar,20.5022,-10.0711,57.58,33,0,8.81,MR,1612839054
drayton valley,53.2168,-114.9854,-20.99,85,26,8.39,CA,1612839354
ubatuba,-23.4339,-45.0711,68.0,77,75,6.91,BR,1612839357
hualmay,-11.0964,-77.6139,71.28,82,100,8.97,PE,1612839358
sena madureira,-9.0656,-68.6569,74.75,96,100,1.16,BR,1612839359
marathon,44.9,-89.7668,-5.8,59,1,8.05,US,1612839360
marsh harbour,26.5412,-77.0636,74.84,87,0,9.48,BS,1612839361
bay roberts,47.5999,-53.2648,30.99,97,100,8.01,CA,1612839362
tilichiki,60.4667,166.1,15.84,97,74,11.99,RU,1612839363
santa maria,-29.6842,-53.8069,71.6,88,0,9.22,BR,1612839364
mikuni,36.2171,136.1519,39.2,48,75,12.66,JP,1612839366
hede,33.7681,120.2517,45.09,54,95,8.68,CN,1612839367
seybaplaya,19.65,-90.6667,75.22,80,0,6.49,MX,1612839368
avera,33.194,-82.5271,53.6,100,1,5.75,US,1612839369
bambanglipuro,-7.95,110.2833,84.94,67,71,4.23,ID,1612839370
pouebo,-20.4,164.5667,84.38,61,7,10.6,NC,1612839372
sunrise manor,36.2111,-115.0731,64.4,21,75,4.61,US,1612839373
juneau,58.3019,-134.4197,8.6,33,40,18.41,US,1612839360
maningrida,-12.0667,134.2667,88.2,65,79,11.41,AU,1612839375
hojai,26.0,92.8667,64.63,53,0,3.27,IN,1612839376
chunskiy,56.0815,99.6342,25.61,95,100,4.32,RU,1612839377
hami,42.8,93.45,39.18,59,0,2.57,CN,1612839378
araouane,18.9048,-3.5265,62.15,25,95,10.8,ML,1612839379
saint anthony,45.0205,-93.218,-4.0,71,1,4.61,US,1612839274
chumikan,54.7183,135.315,-0.53,84,100,22.66,RU,1612839300
refojos de basto,41.5132,-7.9952,51.01,92,100,1.01,PT,1612839382
banjar,-8.19,114.9675,84.2,84,40,4.61,ID,1612839383
pedasi,7.5333,-80.0333,79.45,80,100,16.87,PA,1612839384
kasempa,-13.4584,25.8338,64.13,97,100,1.92,ZM,1612839385
alugan,12.2188,125.4808,71.74,87,100,10.74,PH,1612839386
teresina,-5.0892,-42.8019,80.6,78,90,9.22,BR,1612839388
inhambane,-23.865,35.3833,76.98,86,28,11.34,MZ,1612839389
ortigueira,-24.2083,-50.9494,60.66,79,0,3.29,BR,1612839247
deniliquin,-35.5333,144.9667,84.99,39,0,7.25,AU,1612839391
moncao,42.0789,-8.4808,59.0,100,75,10.36,PT,1612839392
santa lucia,27.9117,-15.5407,61.0,67,20,6.91,ES,1612839393
guarapari,-20.6667,-40.4975,77.0,94,90,8.05,BR,1612839395
khilok,51.3674,110.4676,17.74,91,4,2.04,RU,1612839397
terney,45.0503,136.6092,12.79,81,38,9.6,RU,1612839320
dongzhen,22.3797,110.9389,65.37,75,100,6.69,CN,1612839399
sur,22.5667,59.5289,69.85,72,95,12.64,OM,1612839197
gao,16.6362,1.637,71.64,18,80,11.36,ML,1612839401
cap malheureux,-19.9842,57.6142,79.0,79,9,3.0,MU,1612839402
synya,65.3718,58.0387,-17.64,88,100,2.68,RU,1612839403
krasnoselkup,65.7,82.4667,-7.98,91,78,10.85,RU,1612839404
grindavik,63.8424,-22.4338,26.6,86,0,9.22,IS,1612839405
evensk,61.95,159.2333,10.02,90,61,22.55,RU,1612839406
margate,51.3813,1.3862,32.0,64,100,3.0,GB,1612839407
khani,41.9563,42.9566,57.2,51,20,17.27,GE,1612839409
karratha,-20.7377,116.8463,87.78,47,55,8.21,AU,1612839410
rayevskiy,54.0658,54.9468,-21.26,83,4,7.4,RU,1612839411
ratnagiri,16.9833,73.3,75.02,25,0,5.82,IN,1612839412
vao,-22.6667,167.4833,78.78,75,1,5.86,NC,1612839414
daru,-9.0763,143.2092,85.35,73,100,6.46,PG,1612839415
hamilton,39.1834,-84.5333,28.4,86,90,4.61,US,1612839202
iringa,-7.7667,35.7,64.4,100,75,0.76,TZ,1612839417
albertville,34.2676,-86.2089,50.0,57,1,3.44,US,1612839418
isla mujeres,21.2311,-86.731,79.0,83,20,9.22,MX,1612839419
coihaique,-45.5752,-72.0662,68.0,56,0,3.2,CL,1612839420
codrington,-38.2667,141.9667,70.03,51,0,12.26,AU,1612839422
spitsevka,45.1231,42.5125,28.4,93,40,15.66,RU,1612839423
acajutla,13.5928,-89.8275,77.09,80,12,8.75,SV,1612839183
seoul,37.5683,126.9778,33.8,29,0,5.75,KR,1612839426
oranjemund,-28.55,16.4333,63.19,91,3,13.87,NA,1612839427
high level,58.5169,-117.136,-23.8,76,1,5.75,CA,1612839428
nishihara,26.1842,127.7558,66.2,36,40,11.5,JP,1612839429
roald,62.5833,6.1333,23.0,63,0,9.22,NO,1612839430
kaiu,59.0129,25.0551,10.0,85,75,4.61,EE,1612839431
mogok,22.9167,96.5,64.2,44,0,2.66,MM,1612839432
harper,4.375,-7.7169,78.46,85,65,5.57,LR,1612839435
zima,53.9202,102.0442,20.8,93,100,12.15,RU,1612839436
tyukhtet,56.5389,89.3011,10.47,90,70,19.17,RU,1612839437
huaiyuan,32.973,117.1995,44.85,56,100,9.08,CN,1612839438
bubaque,11.2833,-15.8333,77.29,63,0,12.46,GW,1612839282
angoram,-4.0625,144.0661,77.86,87,100,1.63,PG,1612839441
rocha,-34.4833,-54.3333,61.99,93,7,5.37,UY,1612839442
ucluelet,48.9329,-125.5528,33.01,80,29,5.08,CA,1612839314
goundam,16.4145,-3.6708,68.13,20,5,10.63,ML,1612839444
mayumba,-3.432,10.6554,79.52,85,100,7.4,GA,1612839445
ewa beach,21.3156,-158.0072,80.6,50,40,19.57,US,1612839446
yerbogachen,61.2767,108.0108,11.66,95,97,7.45,RU,1612839447
ayan,56.45,138.1667,-0.65,80,100,17.07,RU,1612839448
medicine hat,50.0501,-110.6683,-17.0,69,20,5.75,CA,1612839215
bilma,18.6853,12.9164,64.36,24,1,8.77,NE,1612839451
lastoursville,-0.8143,12.7287,72.61,90,99,2.19,GA,1612839452
kathu,7.9178,98.3332,86.0,65,20,11.5,TH,1612839453
pilar,-9.5972,-35.9567,73.4,94,0,2.3,BR,1612839329
general roca,-39.0333,-67.5833,68.0,60,0,2.3,AR,1612839455
badarpur,24.9,92.6,73.0,36,0,2.95,IN,1612839457
coquimbo,-29.9533,-71.3436,60.8,82,0,5.75,CL,1612839458
lodja,-3.4833,23.4333,74.71,67,100,1.1,CD,1612839460
yining,29.0361,114.5636,53.65,72,99,1.54,CN,1612839461
ostrovnoy,68.0531,39.5131,11.79,90,100,13.44,RU,1612839462
yuci,37.6803,112.7319,37.4,38,25,2.24,CN,1612839463
bure,10.7,37.0667,51.1,47,67,3.87,ET,1612839464
ketchikan,55.3422,-131.6461,24.8,93,90,4.81,US,1612839461
miandrivazo,-19.5167,45.4667,75.92,86,100,3.89,MG,1612839467
neustrelitz,53.3667,13.0833,16.0,69,99,1.01,DE,1612839468
katangli,51.7102,143.2326,10.26,93,100,15.43,RU,1612839469
zhangzhou,24.5133,117.6556,60.8,59,75,15.66,CN,1612839470
esso,55.9333,158.7,14.99,91,100,4.63,RU,1612839471
praya,14.9215,-23.5087,68.0,73,0,16.11,CV,1612839288
ozernovskiy,51.5,156.5167,21.24,92,63,6.73,RU,1612839473
nastola,60.95,25.9333,10.4,92,90,4.61,FI,1612839474
sao felix do xingu,-6.6447,-51.995,73.94,94,100,1.5,BR,1612839475
ahuimanu,21.4447,-157.8378,80.6,41,75,10.36,US,1612839448
malindi,-3.2175,40.1191,78.15,80,100,9.84,KE,1612839477
luanda,-8.8368,13.2343,78.8,83,75,3.44,AO,1612839478
abancay,-13.6339,-72.8814,59.09,63,100,1.07,PE,1612839480
boffa,10.1667,-14.0333,70.0,88,7,3.44,GN,1612839481
egvekinot,66.3167,-179.1667,-9.89,84,95,9.75,RU,1612839300
guiratinga,-16.3494,-53.7583,72.99,70,19,4.52,BR,1612839484
fonte boa,-2.4959,-66.2662,75.51,95,100,1.01,BR,1612839486
diban,35.0365,40.5167,58.98,41,100,4.52,SY,1612839487
ayr,55.4627,-4.6339,30.0,86,75,8.05,GB,1612839488
gari,59.4307,62.3497,-16.44,88,100,6.93,RU,1612839489
wuwei,37.9281,102.6414,39.87,50,0,1.45,CN,1612839490
hailar,49.2,119.7,4.5,92,79,5.53,CN,1612839491
mana,5.6592,-53.7767,77.22,79,80,12.86,GF,1612839492
fernley,39.608,-119.2518,50.0,24,100,4.0,US,1612839493
khuzhir,53.1939,107.3397,14.18,94,42,8.3,RU,1612839494
oistins,13.0667,-59.5333,77.0,65,20,18.41,BB,1612839496
el jicaro,14.9167,-89.9,71.56,57,4,2.73,GT,1612839497
olga,43.7444,135.2892,17.33,75,1,15.5,RU,1612839498
bathsheba,13.2167,-59.5167,77.0,65,20,18.41,BB,1612839499
rafai,4.95,23.9167,56.14,35,100,1.92,CF,1612839500
teguise,29.0605,-13.564,62.6,77,0,2.3,ES,1612839501
henties bay,-22.116,14.2845,64.99,85,5,3.0,NA,1612839502
moorhead,46.8739,-96.7676,-5.8,77,1,8.05,US,1612839313
beruwala,6.4788,79.9828,74.57,82,34,9.15,LK,1612839504
el playon,7.4713,-73.2031,72.82,71,100,5.37,CO,1612839505
tevaitoa,-16.7833,-151.5,81.81,75,92,12.39,PF,1612839506
qasigiannguit,68.8193,-51.1922,24.8,39,0,20.71,GL,1612839508
jakarta,-6.2146,106.8451,87.01,89,40,5.75,ID,1612839376
khoy,38.5504,44.9535,39.02,70,60,1.66,IR,1612839510
charters towers,-20.1,146.2667,89.6,52,63,4.12,AU,1612839511
oleiros,43.3333,-8.3167,53.01,93,75,8.05,ES,1612839512
nome,64.5011,-165.4064,10.4,44,90,9.22,US,1612839514
pacific grove,36.6177,-121.9166,52.0,82,90,6.91,US,1612839240
date,42.4681,140.8681,24.13,90,100,24.07,JP,1612839516
aksu,41.1231,80.2644,33.89,71,100,0.09,CN,1612839517
half moon bay,37.4636,-122.4286,54.0,93,90,4.61,US,1612839518
muros,42.7762,-9.0603,55.0,88,100,15.01,ES,1612839519
gizo,-8.103,156.8419,84.96,72,64,11.41,SB,1612839520
bogolyubovo,56.1956,40.5297,-9.87,84,3,3.4,RU,1612839521
havre-saint-pierre,50.2334,-63.5986,21.2,68,90,12.66,CA,1612839454
salinas,36.6777,-121.6555,51.8,82,90,6.91,US,1612839334
gilgit,35.9221,74.3087,41.43,50,19,3.11,PK,1612839526
tena,-0.9833,-77.8167,73.02,84,100,2.17,EC,1612839527
